,certificate,genre,gross,id,imdb_rating,metascore,runtime,title,votes,year
166,PG-13,"['Action', 'Adventure', 'Sci-Fi']",59185715.0,tt2557478,5.6,44.0,111 min,Pacific Rim: Uprising,85705.0,['2018']
167,PG-13,"['Adventure', 'Drama', 'Family']",35851379.0,tt4244998,6.7,63.0,96 min,Alpha,37821.0,['2018']
168,TV-MA,"['Horror', 'Thriller']",,tt5834760,6.3,,103 min,Look Away,8999.0,['2018']
169,R,"['Drama', 'History', 'Thriller']",1076261.0,tt5311542,7.7,69.0,188 min,Werk ohne Autor,2598.0,['2018']
170,TV-MA,"['Adventure', 'Drama', 'Horror']",,tt5057140,5.6,63.0,125 min,Hold the Dark,25345.0,['2018']
171,Not Rated,['Drama'],904703.0,tt6257174,6.6,69.0,91 min,The Miseducation of Cameron Post,10829.0,['2018']
172,,['Drama'],,tt8307082,7.1,77.0,99 min,Sauvage,1218.0,['2018']
173,R,"['Drama', 'Romance', 'Thriller']",43549096.0,tt6063050,5.7,32.0,120 min,Acrimony,5383.0,['2018']
174,TV-14,"['Drama', 'History', 'Romance']",,tt1289403,7.4,65.0,124 min,The Guernsey Literary and Potato Peel Pie Society,20752.0,['2018']
175,R,"['Action', 'Drama', 'Sci-Fi']",,tt3312180,4.1,,100 min,The Last Man,456.0,['2018']
176,,"['Drama', 'Sci-Fi']",,tt6888938,5.9,,89 min,White Chamber,51.0,['2018']
177,R,"['Crime', 'Drama']",24011188.0,tt4537896,6.5,59.0,111 min,White Boy Rick,13416.0,['2018']
178,PG,"['Comedy', 'Family', 'Fantasy']",68549695.0,tt2119543,6.1,57.0,105 min,The House with a Clock in Its Walls,30024.0,['2018']
179,PG-13,"['Drama', 'History']",,tt4614612,6.5,70.0,154 min,Peterloo,1363.0,['2018']
180,PG,"['Adventure', 'Family', 'Fantasy']",100478608.0,tt1620680,4.2,53.0,109 min,A Wrinkle in Time,33740.0,['2018']
