,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
285,,"['Comedy', 'Horror']",,7.2,,,I'm Just F*cking With You,10.0,['2019']
286,,"['Animation', 'Adventure', 'Family']",,,,,Red Shoes and the Seven Dwarfs,,['2019']
287,,"['Comedy', 'Drama']",,,,89 min,Love Is Blind,,['2019']
288,,"['Animation', 'Adventure', 'Comedy']",,7.3,,88 min,Manou the Swift,28.0,['2019']
289,Not Rated,"['Action', 'Biography', 'Drama']",,7.0,,148 min,Manikarnika: The Queen of Jhansi,4979.0,['2019']
290,,"['Comedy', 'Drama']",,,,98 min,Summer Night,,['2019']
291,PG-13,"['Comedy', 'Family']",,5.5,,96 min,Grand-Daddy Day Care,90.0,['2019']
292,,"['Biography', 'Drama', 'Thriller']",,,,,Against All Enemies,,['2019']
293,,"['Biography', 'Drama', 'History']",,,,,Harriet,,['2019']
294,PG-13,['Comedy'],,6.8,12.0,89 min,I Hate Kids,1192.0,['2019']
295,,['Adventure'],,9.4,,108 min,The Runaways,24.0,['2019']
296,,"['Action', 'Sci-Fi', 'Thriller']",,5.2,,86 min,Crossbreed,498.0,['2019']
297,R,"['Comedy', 'Crime', 'Drama']",,,,117 min,Going Places,,['2019']
298,,['Thriller'],,7.6,,96 min,Daniel Isn't Real,23.0,['2019']
299,,['Thriller'],,2.7,,102 min,Against the Clock,166.0,['2019']
300,,"['Adventure', 'Comedy', 'Horror']",,6.9,,90 min,Posljednji Srbin u Hrvatskoj,330.0,['2019']
301,,"['Comedy', 'Romance']",,,,,Let It Snow,,['2019']
302,,"['Comedy', 'Horror']",,6.6,34.0,86 min,Corporate Animals,47.0,['2019']
303,,"['Comedy', 'Drama']",,,,,Changeland,,['2019']
304,,"['Animation', 'Drama', 'Fantasy']",,7.9,,117 min,Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,168.0,['2019']
305,,"['Action', 'Adventure', 'Biography']",,,,,The Aeronauts,,['2019']
306,,"['Adventure', 'Drama', 'Horror']",,,,,47 Meters Down: Uncaged,,['2019']
307,,"['Drama', 'Thriller']",,,,,Lost Girls and Love Hotels,,['2019']
308,,"['Comedy', 'Horror']",,3.6,,76 min,Vampz!,42.0,['2019']
309,,"['Biography', 'Drama', 'Thriller']",,6.7,63.0,141 min,Mr. Jones,161.0,['2019']
310,,['Drama'],,7.9,,88 min,Mickey and the Bear,22.0,['2019']
311,,"['Drama', 'History', 'Thriller']",,,,,The Red Sea Diving Resort,,['2019']
312,,['Drama'],,7.7,59.0,110 min,After the Wedding,54.0,['2019']
313,,['Drama'],,,,,Matthias & Maxime,,['2019']
314,,"['Comedy', 'Family']",,,,,Horrible Histories: The Movie,,['2019']
315,,['Drama'],,7.0,65.0,88 min,Sword of Trust,20.0,['2019']
316,,['Thriller'],,4.7,,90 min,Beneath the Leaves,201.0,['2019']
317,R,"['Action', 'Thriller']",,,,,Anna,,['2019']
